,L_1_values,L_inf_values
437,4.381584524040854e-05,2.1110159167533586e-06
438,4.469072184732572e-05,2.183933661566803e-06
439,4.457225946342786e-05,2.2003745537704112e-06
440,4.475944607932614e-05,2.165524912535661e-06
441,4.424551131680166e-05,2.1136986388988537e-06
442,4.319902394549178e-05,2.2028747591711537e-06
443,4.457400323100051e-05,2.1058254139014027e-06
444,4.472149950774037e-05,2.1396817790320912e-06
445,4.4361676119558335e-05,2.1592063678794615e-06
446,4.438150239223157e-05,2.114437388177959e-06
447,4.435618437375626e-05,2.137529997319324e-06
448,4.4717779097221185e-05,2.111415019206757e-06
449,4.451470852002401e-05,2.1602034952686104e-06
450,4.4287093328138096e-05,2.168448629877228e-06
451,4.450801855467362e-05,2.1536013822469297e-06
452,4.466864344984589e-05,2.1542589854024423e-06
453,4.4704815395118895e-05,2.1530091886056636e-06
454,4.4778662269571097e-05,2.159562833644506e-06
455,4.472756546949334e-05,2.1251490620890254e-06
456,4.509740653104416e-05,2.173658140155072e-06
457,4.424477312462911e-05,2.11370747670529e-06
458,4.553706790427944e-05,2.240100446048955e-06
459,4.479060268583183e-05,2.1586450191282746e-06
460,4.4444790460235885e-05,2.0946892556084624e-06
461,4.461189613141154e-05,2.1301154095834766e-06
462,4.5657691974171695e-05,2.225631869000229e-06
463,4.4347370380064984e-05,2.0993172746313315e-06
464,4.40333725670001e-05,2.0808070337250547e-06
465,4.490823192901204e-05,2.142624601832408e-06
466,4.437371927909669e-05,2.13875899771629e-06
467,4.55539151258545e-05,2.2227852390766358e-06
468,4.498489442848117e-05,2.1428747703927637e-06
469,4.4308051007187694e-05,2.09694957986129e-06
470,4.42890680831281e-05,2.170550095692176e-06
471,4.5715775617358146e-05,2.242483693217744e-06
472,4.417157820899375e-05,2.0899430081783337e-06
473,4.437402752968704e-05,2.193127840404766e-06
474,4.4719941842680354e-05,2.1673217608003328e-06
475,4.441192821783456e-05,2.326325905083738e-06
476,4.4370058304557136e-05,2.0911540353759147e-06
477,4.509137194441019e-05,2.204874987164229e-06
478,4.5123504830615626e-05,2.2069592697069305e-06
479,4.436075655817923e-05,2.101305130801458e-06
480,4.555685833312891e-05,2.222892550168319e-06
481,4.431485388620017e-05,2.170900253897629e-06
482,4.47162601040857e-05,2.1906833157692306e-06
483,4.437419340575969e-05,2.2110184129512307e-06
484,4.426965967495315e-05,2.136454336796824e-06
485,4.403887783278717e-05,2.3294364266634943e-06
486,4.485541321794219e-05,2.1308653777081546e-06
487,4.4691514672655917e-05,2.154453070083444e-06
488,4.4604029113810967e-05,2.0843037955734633e-06
489,4.477124372663535e-05,2.1137452777316387e-06
490,4.56022759037423e-05,2.2421211834706487e-06
491,4.4232601091679096e-05,2.085978007291852e-06
492,4.4896251843926097e-05,2.141066069278362e-06
493,4.4531315317112174e-05,2.1753541244487335e-06
494,4.42160466652596e-05,2.093497275123108e-06
495,4.478912413610908e-05,2.151557400100833e-06
496,4.461308862045943e-05,2.125330561894382e-06
497,4.46545154556015e-05,2.117847021961166e-06
498,4.4356726574315226e-05,2.3369166647247446e-06
499,4.2663572702822226e-05,2.1849546030050212e-06
